Time	Open	High	Low	Close	Volume	Spread
2010-06-16 00:00:00	0.86365	0.86737	0.8581	0.86217	83247	12
2010-06-17 00:00:00	0.86219	0.86856	0.85819	0.86674	74125	11
2010-06-18 00:00:00	0.86673	0.87127	0.86514	0.87022	119102	13
2010-06-20 00:00:00	0.88058	0.88126	0.87794	0.87936	3777	32
2010-06-21 00:00:00	0.87937	0.88588	0.87513	0.87769	79881	18
2010-06-22 00:00:00	0.87767	0.88313	0.87021	0.87121	89894	9
2010-06-23 00:00:00	0.87118	0.87801	0.86606	0.87487	107113	12
2010-06-24 00:00:00	0.87492	0.87682	0.86406	0.86711	78850	10
2010-06-25 00:00:00	0.86713	0.87581	0.85951	0.86721	88615	12
2010-06-27 00:00:00	0.87422	0.87437	0.87198	0.87412	1883	14
2010-06-28 00:00:00	0.87407	0.87768	0.86907	0.87089	72613	13
2010-06-29 00:00:00	0.87094	0.87207	0.84638	0.84985	95832	11
2010-06-30 00:00:00	0.84984	0.85666	0.83897	0.84138	93684	13
2010-07-01 00:00:00	0.84141	0.84801	0.83154	0.84497	103385	12
2010-07-02 00:00:00	0.84496	0.85103	0.8402	0.84248	88145	13
2010-07-04 00:00:00	0.84128	0.8428	0.83759	0.83952	2602	26
2010-07-05 00:00:00	0.83949	0.8467	0.83507	0.8354	39082	11
2010-07-06 00:00:00	0.83538	0.85592	0.83165	0.85261	84315	14
2010-07-07 00:00:00	0.85265	0.8663	0.8449	0.86333	82794	12
2010-07-08 00:00:00	0.86334	0.87907	0.86333	0.8766	69476	12
2010-07-09 00:00:00	0.87655	0.87801	0.87269	0.87771	62940	7
2010-07-11 00:00:00	0.87719	0.87762	0.87479	0.87652	1554	46
2010-07-12 00:00:00	0.87651	0.87757	0.87013	0.87659	65782	8
2010-07-13 00:00:00	0.87657	0.88432	0.8682	0.88297	84810	11
2010-07-14 00:00:00	0.88294	0.88707	0.8785	0.88142	85751	11
2010-07-15 00:00:00	0.88146	0.88491	0.87266	0.88102	93957	10
2010-07-16 00:00:00	0.88098	0.88178	0.86811	0.87008	87367	11
2010-07-18 00:00:00	0.86639	0.86744	0.86325	0.86349	2928	24
2010-07-19 00:00:00	0.86351	0.8719	0.86329	0.86881	79755	10
2010-07-20 00:00:00	0.86877	0.88458	0.86818	0.88397	94444	14
2010-07-21 00:00:00	0.88402	0.88587	0.87597	0.87733	91397	11
2010-07-22 00:00:00	0.87734	0.8952	0.87369	0.89448	87354	12
2010-07-23 00:00:00	0.89449	0.89714	0.88957	0.89658	100844	13
2010-07-25 00:00:00	0.89583	0.89583	0.89277	0.8955	2749	29
2010-07-26 00:00:00	0.89551	0.90355	0.89409	0.9005	100308	16
2010-07-27 00:00:00	0.90051	0.90689	0.89992	0.90121	91567	13
2010-07-28 00:00:00	0.90126	0.90247	0.89047	0.89427	114529	15
2010-07-29 00:00:00	0.89423	0.90427	0.89222	0.89976	87225	13
2010-07-30 00:00:00	0.89973	0.90662	0.89651	0.90442	100614	9
2010-08-01 00:00:00	0.90619	0.90752	0.90448	0.90751	1919	27
2010-08-02 00:00:00	0.90752	0.91453	0.90751	0.91232	86278	8
2010-08-03 00:00:00	0.91225	0.91495	0.907	0.91313	78203	10
2010-08-04 00:00:00	0.91315	0.91828	0.90946	0.91558	81951	8
2010-08-05 00:00:00	0.91563	0.91747	0.91161	0.91435	56344	9
2010-08-06 00:00:00	0.91442	0.92218	0.91348	0.91884	70826	10
2010-08-08 00:00:00	0.91851	0.91916	0.91721	0.91746	1236	42
2010-08-09 00:00:00	0.91742	0.92054	0.91501	0.91561	62417	11
2010-08-10 00:00:00	0.91557	0.91645	0.9058	0.91168	85877	11
2010-08-11 00:00:00	0.91172	0.91221	0.8932	0.89682	103507	11
2010-08-12 00:00:00	0.89683	0.9008	0.89138	0.89692	86651	11
2010-08-13 00:00:00	0.89688	0.90348	0.89216	0.89222	80846	13
2010-08-15 00:00:00	0.89302	0.89463	0.8918	0.89213	1591	47
2010-08-16 00:00:00	0.89216	0.89939	0.88586	0.89527	93314	14
2010-08-17 00:00:00	0.89522	0.90792	0.89449	0.90502	75136	12
2010-08-18 00:00:00	0.905	0.90531	0.89574	0.89587	81414	14
2010-08-19 00:00:00	0.89585	0.9018	0.88891	0.88944	74936	12
2010-08-20 00:00:00	0.88941	0.89323	0.88406	0.89215	84062	13
2010-08-22 00:00:00	0.88685	0.88866	0.88685	0.88843	2144	28
2010-08-23 00:00:00	0.8884	0.89826	0.88824	0.88939	68882	16
2010-08-24 00:00:00	0.88943	0.89052	0.87961	0.88277	92452	12
2010-08-25 00:00:00	0.88281	0.88947	0.87708	0.8858	95551	12
2010-08-26 00:00:00	0.88581	0.89181	0.88313	0.88482	72732	14
2010-08-27 00:00:00	0.88478	0.89987	0.88454	0.89888	79161	13
2010-08-29 00:00:00	0.90123	0.90304	0.90032	0.90163	2726	24
2010-08-30 00:00:00	0.9016	0.90261	0.89128	0.89154	56679	13
2010-08-31 00:00:00	0.89152	0.89562	0.88602	0.89152	90791	12
2010-09-01 00:00:00	0.89175	0.91161	0.89147	0.90824	86794	12
2010-09-02 00:00:00	0.90823	0.91208	0.9054	0.90873	59561	13
2010-09-03 00:00:00	0.90875	0.91755	0.90659	0.91662	65421	14
2010-09-05 00:00:00	0.91554	0.91647	0.91454	0.91551	1727	38
2010-09-06 00:00:00	0.91552	0.91808	0.9141	0.91476	37876	14
2010-09-07 00:00:00	0.91478	0.91778	0.90918	0.91215	83759	13
2010-09-08 00:00:00	0.91217	0.91935	0.9107	0.91713	80849	10
2010-09-09 00:00:00	0.91716	0.92769	0.91684	0.92239	64943	12
2010-09-10 00:00:00	0.92242	0.92685	0.92048	0.92665	60382	10
2010-09-12 00:00:00	0.9291	0.93102	0.92869	0.93092	2840	13
2010-09-13 00:00:00	0.9309	0.9362	0.92937	0.93322	57248	13
2010-09-14 00:00:00	0.93317	0.9457	0.9313	0.93976	75466	10
2010-09-15 00:00:00	0.93977	0.943	0.93421	0.93899	86184	9
2010-09-16 00:00:00	0.93902	0.93951	0.933	0.93513	62985	14
2010-09-17 00:00:00	0.93514	0.94681	0.93514	0.93598	73307	10
2010-09-19 00:00:00	0.93837	0.93842	0.93631	0.93652	974	31
2010-09-20 00:00:00	0.93653	0.9494	0.93612	0.94571	58580	11
2010-09-21 00:00:00	0.94565	0.95639	0.94413	0.9558	70272	9
2010-09-22 00:00:00	0.95576	0.96007	0.9509	0.95517	88259	13
2010-09-23 00:00:00	0.95518	0.95748	0.94648	0.94653	79792	13
2010-09-24 00:00:00	0.94651	0.96147	0.94621	0.95956	79438	15
2010-09-26 00:00:00	0.96052	0.96227	0.95852	0.95982	1877	14
2010-09-27 00:00:00	0.95981	0.96438	0.95733	0.95885	76528	14
2010-09-28 00:00:00	0.95887	0.96859	0.95587	0.96676	80912	10
2010-09-29 00:00:00	0.96678	0.97292	0.96631	0.96892	92563	9
2010-09-30 00:00:00	0.96891	0.97337	0.9624	0.96532	93836	12
